"","Protein.1","Protein.2","Method","Type","Evidence"
"27","CDKN1A","CDK2","Reconstituted Complex","physical","McKenzie PP (2003)"
"28","CDK2","CDKN1A","Affinity Capture-Western","physical","Law BK (2002)"
"29","CDK2","CDKN1A","Two-hybrid","physical","Harper JW (1993)"
"30","CDK2","CDKN1A","Reconstituted Complex","physical","Harper JW (1993)"
"31","STAT3","CDKN1A","Affinity Capture-Western","physical","Coqueret O (2000)"
"32","CCND1","CDKN1A","Reconstituted Complex","physical","Lin J (1996)"
"33","CDK2","CDKN1A","Affinity Capture-Western","physical","Yam CH (1999)"
"34","CDKN1A","CDK2","Affinity Capture-Western","physical","Selma Dagtas A (2010)"
"35","CDKN1A","CDK4","Affinity Capture-Western","physical","Selma Dagtas A (2010)"
"36","CDKN1A","JUN","Affinity Capture-Western","physical","Selma Dagtas A (2010)"
"37","JUN","CDKN1A","Affinity Capture-Western","physical","Selma Dagtas A (2010)"
"38","CCND1","CDKN1A","Affinity Capture-Western","physical","Guidoboni M (2005)"
"39","CDK4","CDKN1A","Affinity Capture-Western","physical","Guidoboni M (2005)"
"40","CDKN1A","CCND1","Reconstituted Complex","physical","Garcia-Wilson E (2005)"
"41","CDK2","CDKN1A","Affinity Capture-Western","physical","Naderi S (2005)"
"42","CDK2","CDKN1A","Affinity Capture-Western","physical","Varshochi R (2005)"
"43","CDK2","CDKN1A","Affinity Capture-Western","physical","Jeong JH (2010)"
"44","CDKN1A","CDK4","Affinity Capture-Western","physical","Santiago FS (2007)"
"45","CDKN1A","CCND1","Affinity Capture-Western","physical","Santiago FS (2007)"
"46","CDK4","CDKN1A","Affinity Capture-Western","physical","Santiago FS (2007)"
"47","CCND1","CDKN1A","Affinity Capture-Western","physical","Santiago FS (2007)"
"48","CDK2","CDKN1A","Affinity Capture-Western","physical","Hsu SP (2008)"
"49","CDK4","CDKN1A","Affinity Capture-Western","physical","Hsu SP (2008)"
"50","CDKN1A","CDK4","Affinity Capture-Western","physical","Kehn K (2004)"
"51","CDK2","CDKN1A","Affinity Capture-Western","physical","Scholz A (2003)"
"52","CDK2","CDKN1A","Affinity Capture-Western","physical","Peiretti A (2003)"
"53","CDKN1A","CDK2","Affinity Capture-Western","physical","Peiretti A (2003)"
"54","CDKN1A","CDK2","Affinity Capture-Western","physical","Derjuga A (2001)"
"55","CDK2","CDKN1A","Co-fractionation","physical","Kim YB (2000)"
"56","CDK2","CDKN1A","Affinity Capture-Western","physical","Park US (2000)"
"57","CDK2","CDKN1A","Affinity Capture-Western","physical","Kim WH (2000)"
"58","CDK2","CDKN1A","Affinity Capture-Western","physical","Kokontis JM (1998)"
"59","CDK4","CDKN1A","Affinity Capture-Western","physical","Kokontis JM (1998)"
"60","CDK2","CDKN1A","Affinity Capture-Western","physical","Orend G (1998)"
"61","CDK4","CDKN1A","Affinity Capture-Western","physical","Orend G (1998)"
"62","CDK2","CDKN1A","Affinity Capture-Western","physical","Wu G (1997)"
"63","CDK2","CDKN1A","Affinity Capture-Western","physical","Liu J (1997)"
"64","CDK2","CDKN1A","Affinity Capture-Western","physical","Bendjennat M (2003)"
"65","CDKN1A","CDK2","Affinity Capture-Western","physical","Zheleva DI (2002)"
"66","CDKN1A","CCND1","Affinity Capture-Western","physical","Zheleva DI (2002)"
"67","CDKN1A","CDK4","Affinity Capture-Western","physical","Zheleva DI (2002)"
"68","CCND1","CDKN1A","Co-fractionation","physical","Ruas M (2007)"
"69","CDK4","CDKN1A","Affinity Capture-Western","physical","Mandal M (1998)"
"70","CDK2","CDKN1A","Affinity Capture-Western","physical","Mandal M (1998)"
"71","CDKN1A","CDK2","Affinity Capture-Western","physical","Bao GC (2006)"
"72","CDK2","CDKN1A","Affinity Capture-Western","physical","Mattock H (2001)"
"73","CDK2","CDKN1A","Biochemical Activity","physical","Chen Z (2002)"
"74","CDK2","CDKN1A","Reconstituted Complex","physical","Chen J (1996)"
"75","CDK4","CDKN1A","Reconstituted Complex","physical","Chen J (1996)"
"76","CCND1","CDKN1A","Reconstituted Complex","physical","Chen J (1996)"
"77","CDKN1A","CCND1","Reconstituted Complex","physical","Chen J (1996)"
"78","CDKN1A","CDK2","Reconstituted Complex","physical","Chen J (1996)"
"79","CDKN1A","CDK4","Reconstituted Complex","physical","Chen J (1996)"
"80","CDKN1A","CEBPA","Reconstituted Complex","physical","Timchenko NA (1997)"
"81","CEBPA","CDKN1A","Two-hybrid","physical","Timchenko NA (1997)"
"82","CDK2","CDKN1A","Affinity Capture-Western","physical","Levkau B (1998)"
"83","CDKN1A","CDK2","Affinity Capture-Western","physical","Levkau B (1998)"
"84","CDKN1A","CCND1","Affinity Capture-Western","physical","Poon RY (1996)"
"85","CCND1","CDKN1A","Reconstituted Complex","physical","Ramachandran N (2004)"
"86","CDK4","CDKN1A","Reconstituted Complex","physical","Ramachandran N (2004)"
"87","CDK2","CDKN1A","Reconstituted Complex","physical","Ramachandran N (2004)"
"88","CDKN1A","CDK2","Reconstituted Complex","physical","Lacy ER (2005)"
"89","CDK2","CDKN1A","Affinity Capture-Western","physical","Akagi M (1996)"
"90","CDKN1A","CDK2","Affinity Capture-Western","physical","Zhao J (1998)"
"91","CDKN1A","CDK2","Affinity Capture-Western","physical","Zhang Y (1999)"
"92","CDK2","CDKN1A","Affinity Capture-Western","physical","Poon RY (1998)"
"93","CCND1","CDKN1A","Two-hybrid","physical","Wang J (2011)"
"94","CDKN1A","CDK2","Affinity Capture-Western","physical","Gorospe M (1996)"
"95","CDKN1A","CDK4","Affinity Capture-Western","physical","Gorospe M (1996)"
"96","CDK2","CDKN1A","Affinity Capture-MS","physical","Varjosalo M (2013)"
"97","CDKN1A","HSPA5","Affinity Capture-MS","physical","Fogeron ML (2013)"
"98","CDKN1A","CDK4","Affinity Capture-MS","physical","Fogeron ML (2013)"
"99","CDKN1A","CCND1","Affinity Capture-MS","physical","Fogeron ML (2013)"
"100","CDKN1A","CDK2","Affinity Capture-MS","physical","Fogeron ML (2013)"
"101","CCND1","CDKN1A","Two-hybrid","physical","Rolland T (2014)"
"102","CDKN1A","TCF4","Two-hybrid","physical","Rolland T (2014)"
"103","AKT1","CDKN1A","Reconstituted Complex","physical","Heron-Milhavet L (2006)"
"104","AKT1","CDKN1A","Biochemical Activity","physical","Heron-Milhavet L (2006)"
"105","CDK2","CDKN1A","Affinity Capture-MS","physical","Huttlin EL (2015)"
"106","CDKN1A","CDK2","Affinity Capture-Western","physical","Hall JR (2014)"
"107","CDKN1A","CCND1","Two-hybrid","physical","Yu H (2011)"
"108","CDKN1A","CDK2","Affinity Capture-MS","physical","Hein MY (2015)"
"109","CDK2","CDKN1A","Affinity Capture-MS","physical","Hein MY (2015)"
"110","AKT1","CDKN1A","Co-localization","physical","Chen TC (2014)"
"111","CDK2","CDKN1A","Co-localization","physical","Chen TC (2014)"
"112","CDKN1A","STAT3","Co-localization","physical","Chen TC (2014)"
"113","CDKN1A","SMAD4","Co-localization","physical","Chen TC (2014)"
"114","CDKN1A","FOXO1","Co-localization","physical","Chen TC (2014)"
"115","CDKN1A","SMAD3","Affinity Capture-Western","physical","Dai M (2012)"
"116","CCND1","CDKN1A","Affinity Capture-Western","physical","Datta D (2015)"
"117","CTNNB1","PIK3R1","Reconstituted Complex","physical","Espada J (1999)"
"118","CTNNB1","GSK3B","Affinity Capture-Western","physical","Davies G (2001)"
"119","CTNNB1","TCF4","Reconstituted Complex","physical","Fasolini M (2003)"
"120","TCF4","CTNNB1","Affinity Capture-Western","physical","Li Q (2004)"
"121","DVL3","CTNNB1","Affinity Capture-Western","physical","Song DH (2000)"
"122","SMAD3","CTNNB1","Affinity Capture-Western","physical","Tian YC (2002)"
"123","SMAD4","CTNNB1","Affinity Capture-Western","physical","Tian YC (2002)"
"124","GSK3B","CTNNB1","Biochemical Activity","physical","Kishida S (1999)"
"125","TCF4","CTNNB1","Co-crystal Structure","physical","Poy F (2001)"
"126","GSK3B","CTNNB1","Affinity Capture-Western","physical","Fischer L (2002)"
"127","TCF4","CTNNB1","Reconstituted Complex","physical","Iguchi H (2007)"
"128","GSK3B","CTNNB1","Affinity Capture-Western","physical","Kitagawa M (1999)"
"129","SMAD3","CTNNB1","Affinity Capture-Western","physical","Dahle O (2010)"
"130","CTNNB1","TCF4","Reconstituted Complex","physical","Notani D (2010)"
"131","NOTCH1","CTNNB1","Affinity Capture-Western","physical","Jin YH (2009)"
"132","CTNNB1","NOTCH1","Affinity Capture-Western","physical","Jin YH (2009)"
"133","CTNNB1","NOTCH1","Reconstituted Complex","physical","Jin YH (2009)"
"134","GSK3B","CTNNB1","Biochemical Activity","physical","Hart M (1999)"
"135","GSK3B","CTNNB1","Biochemical Activity","physical","Su Y (2008)"
"136","SMAD3","CTNNB1","Affinity Capture-Western","physical","Charbonney E (2011)"
"137","TCF4","CTNNB1","Affinity Capture-Western","physical","Tran H (2008)"
"138","SMAD3","CTNNB1","Affinity Capture-Western","physical","Zhou B (2012)"
"139","CTNNB1","GSK3B","Affinity Capture-Western","physical","Huang X (2009)"
"140","NFKB1","CTNNB1","Co-localization","physical","Kim JH (2005)"
"141","NFKB1","CTNNB1","Affinity Capture-Western","physical","Kim JH (2005)"
"142","CTNNB1","TCF4","Two-hybrid","physical","Sanchez-Tillo E (2011)"
"143","CTNNB1","TCF4","Affinity Capture-MS","physical","Selbach M (2006)"
"144","GSK3B","CTNNB1","Biochemical Activity","physical","Ding Q (2005)"
"145","AKT1","CTNNB1","Biochemical Activity","physical","Tian Q (2004)"
"146","TCF4","CTNNB1","Affinity Capture-Western","physical","Hamada F (2004)"
"147","CTNNB1","TCF4","Affinity Capture-Western","physical","Hamada F (2004)"
"148","CTNNB1","CDK2","Reconstituted Complex","physical","Park CS (2004)"
"149","CDK2","CTNNB1","Affinity Capture-Western","physical","Park CS (2004)"
"150","GSK3B","CTNNB1","Biochemical Activity","physical","Piao S (2008)"
"151","GSK3B","CTNNB1","Biochemical Activity","physical","Gao C (2014)"
"152","CTNNB1","TCF4","Affinity Capture-Western","physical","Ponce E (2014)"
"153","TCF4","CTNNB1","Affinity Capture-Western","physical","Wu B (2013)"
"154","CTNNB1","TCF4","Affinity Capture-Western","physical","Wu B (2013)"
"155","CTNNB1","TCF4","Affinity Capture-Western","physical","Yamamoto H (2003)"
"156","TCF4","CTNNB1","Affinity Capture-Western","physical","Xu X (2014)"
"157","CTNNB1","TCF4","Affinity Capture-Western","physical","Levy L (2004)"
"158","CTNNB1","TCF4","Reconstituted Complex","physical","Levy L (2004)"
"159","TCF4","CTNNB1","Affinity Capture-Western","physical","Levy L (2004)"
"160","TCF4","CTNNB1","Affinity Capture-Western","physical","Wang H (2008)"
"161","TCF4","CTNNB1","Affinity Capture-Western","physical","Jansson EA (2005)"
"162","CTNNB1","TCF4","Reconstituted Complex","physical","Kotlyar M (2015)"
"163","PTEN","CTNNB1","Affinity Capture-Western","physical","Li A (2010)"
"164","CTNNB1","PTEN","Affinity Capture-Western","physical","Li A (2010)"
"165","AKT1","CTNNB1","Biochemical Activity","physical","Fang D (2007)"
"166","CTNNB1","TCF4","Affinity Capture-Western","physical","Zhu Z (2014)"
"167","GSK3B","CTNNB1","Biochemical Activity","physical","Koo J (2015)"
"168","DKK1","CTNNB1","Co-localization","physical","Chen TC (2014)"
"169","GSK3B","CTNNB1","Co-localization","physical","Chen TC (2014)"
"170","NFKB1","CTNNB1","Co-localization","physical","Chen TC (2014)"
"171","PIK3R1","CTNNB1","Co-localization","physical","Chen TC (2014)"
"172","GSK3B","NFKB1","Biochemical Activity","physical","Demarchi F (2001)"
"173","AKT1","GSK3B","Reconstituted Complex","physical","Thimmaiah KN (2005)"
"174","SGK3","GSK3B","Two-hybrid","physical","Dai F (2002)"
"175","SGK3","GSK3B","Affinity Capture-Western","physical","Dai F (2002)"
"176","GSK3B","NOTCH1","Biochemical Activity","physical","Foltz DR (2002)"
"177","NOTCH1","GSK3B","Reconstituted Complex","physical","Foltz DR (2002)"
"178","GSK3B","PPARGC1A","Biochemical Activity","physical","Olson BL (2008)"
"179","GSK3B","SMAD3","Affinity Capture-Western","physical","Guo X (2008)"
"180","SMAD3","GSK3B","Reconstituted Complex","physical","Guo X (2008)"
"181","TRAF2","GSK3B","Affinity Capture-MS","physical","Behrends C (2010)"
"182","GSK3B","SMURF2","Affinity Capture-Western","physical","Wu Q (2009)"
"183","AKT1","GSK3B","Biochemical Activity","physical","Drendall CI (2010)"
"184","GSK3B","EIF4EBP1","Two-hybrid","physical","Vinayagam A (2011)"
"185","GSK3B","RBPJ","Two-hybrid","physical","Vinayagam A (2011)"
"186","GSK3B","SMAD3","Affinity Capture-Western","physical","Choi SI (2011)"
"187","STK11","GSK3B","Affinity Capture-Western","physical","Yan D (2012)"
"188","AKT1","GSK3B","Biochemical Activity","physical","Connor MK (2005)"
"189","AKT1","GSK3B","Biochemical Activity","physical","Hunter MG (2004)"
"190","AKT1","GSK3B","Affinity Capture-Western","physical","Zhu QS (2011)"
"191","AKT1","GSK3B","Biochemical Activity","physical","Li L (2003)"
"192","GSK3B","PRKACA","Affinity Capture-Western","physical","Fang X (2000)"
"193","PRKACA","GSK3B","Biochemical Activity","physical","Fang X (2000)"
"194","AKT3","GSK3B","Biochemical Activity","physical","Dragoi AM (2005)"
"195","GSK3B","DDIT4","Biochemical Activity","physical","Katiyar S (2009)"
"196","GSK3B","DDIT4","Affinity Capture-Western","physical","Katiyar S (2009)"
"197","RELB","GSK3B","Affinity Capture-Western","physical","Neumann M (2011)"
"198","GSK3B","RELB","Affinity Capture-Western","physical","Neumann M (2011)"
"199","GSK3B","RELB","Biochemical Activity","physical","Neumann M (2011)"
"200","AKT1","GSK3B","Biochemical Activity","physical","Nam SY (2010)"
"201","AKT1","GSK3B","Biochemical Activity","physical","Yang WL (2009)"
"202","GSK3B","SGK3","Two-hybrid","physical","Wang J (2011)"
"203","GSK3B","PRKACA","Affinity Capture-MS","physical","Varjosalo M (2013)"
"204","GSK3B","CTNNB1","Affinity Capture-MS","physical","Varjosalo M (2013)"
"205","AKT1","GSK3B","Biochemical Activity","physical","Zeng L (2013)"
"206","AKT1","GSK3B","Biochemical Activity","physical","Yang H (2005)"
"207","AKT1","GSK3B","Biochemical Activity","physical","Boehme KA (2008)"
"208","GSK3B","JUN","Biochemical Activity","physical","Chen BK (2007)"
"209","AKT1","GSK3B","Biochemical Activity","physical","Cross DA (1995)"
"210","AKT1","GSK3B","Biochemical Activity","physical","Hinton CV (2007)"
"211","GSK3B","CCND1","Co-localization","physical","Chen TC (2014)"
"212","GSK3B","FOXO1","Co-localization","physical","Chen TC (2014)"
"213","GSK3B","JUN","Co-localization","physical","Chen TC (2014)"
"214","PRKCZ","GSK3B","Co-localization","physical","Chen TC (2014)"
"215","MAP3K2","MAP2K4","Affinity Capture-Western","physical","Cheng J (2000)"
"216","MAP3K2","MAP2K3","Biochemical Activity","physical","Deacon K (1997)"
"217","MAP3K2","MAP2K4","Biochemical Activity","physical","Deacon K (1997)"
"218","MAP3K2","MAP2K4","Biochemical Activity","physical","Enomoto A (2008)"
"219","ARAF","PIK3R1","Reconstituted Complex","physical","Fang Y (2002)"
"220","BRAF","ARAF","Affinity Capture-MS","physical","Gloeckner CJ (2007)"
"221","ARAF","KRAS","Two-hybrid","physical","Rolland T (2014)"
"222","ARAF","HSP90B1","Affinity Capture-MS","physical","So J (2015)"
"223","ARAF","KRAS","Affinity Capture-MS","physical","So J (2015)"
"224","ARAF","BRAF","Co-localization","physical","Chen TC (2014)"
"225","GLI1","XBP1","Two-hybrid","physical","Ravasi T (2010)"
"226","ATF6","XBP1","FRET","physical","Reinke AW (2013)"
"227","XBP1","ATF6","FRET","physical","Reinke AW (2013)"
"228","CDC42","TRAF2","Affinity Capture-Western","physical","Marivin A (2013)"
"229","CDC42","TRAF2","Reconstituted Complex","physical","Marivin A (2013)"
"230","HSPA5","ERN1","Reconstituted Complex","physical","Liu CY (2003)"
"231","HSPA5","RAF1","Reconstituted Complex","physical","Shu CW (2008)"
"232","RAF1","HSPA5","Affinity Capture-Western","physical","Shu CW (2008)"
"233","HSPA5","RAF1","Affinity Capture-Western","physical","Shu CW (2008)"
"234","CDK2","HSPA5","Affinity Capture-MS","physical","Neganova I (2011)"
"235","HSPA5","ERN1","Affinity Capture-Western","physical","Yanagisawa K (2010)"
"236","AKT1","HSPA5","Affinity Capture-MS","physical","Klein JB (2005)"
"237","HSP90B1","HSPA5","Co-fractionation","physical","Havugimana PC (2012)"
"238","BRAF","HSPA5","Affinity Capture-MS","physical","Gloeckner CJ (2007)"
"239","HSPA5","HSP90B1","Co-fractionation","physical","Wan C (2015)"
"240","HSPA5","HSP90B1","Affinity Capture-MS","physical","Hein MY (2015)"
"241","CRY1","HSPA5","Affinity Capture-MS","physical","Papp SJ (2015)"
"242","HRAS","RAF1","Two-hybrid","physical","Stang S (1997)"
"243","RAF1","HRAS","Two-hybrid","physical","Germani A (2003)"
"244","RAF1","HRAS","Reconstituted Complex","physical","Mitin NY (2004)"
"245","RAF1","HRAS","Reconstituted Complex","physical","Vargiu P (2004)"
"246","RAF1","HRAS","Two-hybrid","physical","Yuryev A (2003)"
"247","KRAS","RAF1","Two-hybrid","physical","Li W (2000)"
"248","HRAS","RAF1","Two-hybrid","physical","Li W (2000)"
"249","HRAS","RAF1","Reconstituted Complex","physical","Li W (2000)"
"250","RAF1","PRKCE","Affinity Capture-Western","physical","Bourbon NA (2001)"
"251","GRB10","RAF1","Co-fractionation","physical","Nantel A (1999)"
"252","RAF1","GRB10","Two-hybrid","physical","Nantel A (1999)"
"253","RAF1","GRB10","Affinity Capture-Western","physical","Nantel A (1999)"
"254","RAF1","HRAS","Affinity Capture-Western","physical","Kiyono M (2000)"
"255","RAF1","KRAS","Affinity Capture-Western","physical","Kiyono M (2000)"
"256","HRAS","RAF1","Two-hybrid","physical","Janoueix-Lerosey I (1998)"
"257","HRAS","RAF1","Two-hybrid","physical","Boettner B (2000)"
"258","AKT1","RAF1","Biochemical Activity","physical","Zimmermann S (1999)"
"259","RAF1","AKT1","Affinity Capture-Western","physical","Zimmermann S (1999)"
"260","HRAS","RAF1","Affinity Capture-Western","physical","Karbowniczek M (2006)"
"261","HRAS","RAF1","Two-hybrid","physical","Han L (1995)"
"262","HRAS","RAF1","Reconstituted Complex","physical","Jelinek T (1994)"
"263","HRAS","RAF1","Two-hybrid","physical","Romero F (1999)"
"264","HRAS","RAF1","Two-hybrid","physical","Morcos P (1996)"
"265","BRAF","RAF1","Affinity Capture-Western","physical","Weber CK (2001)"
"266","RAF1","BRAF","Affinity Capture-Western","physical","Weber CK (2001)"
"267","RAF1","GRB10","Reconstituted Complex","physical","Nantel A (1998)"
"268","RAF1","GRB10","Two-hybrid","physical","Nantel A (1998)"
"269","RAF1","GRB10","Affinity Capture-Western","physical","Nantel A (1998)"
"270","GRB10","RAF1","Affinity Capture-Western","physical","Nantel A (1998)"
"271","RAF1","HRAS","Reconstituted Complex","physical","Hu CD (1995)"
"272","RAF1","HRAS","Affinity Capture-Western","physical","Hu CD (1995)"
"273","RAF1","PRKCZ","Affinity Capture-Western","physical","Van Der Hoeven PC (2000)"
"274","PRKCZ","RAF1","Affinity Capture-Western","physical","Van Der Hoeven PC (2000)"
"275","RAF1","PRKCZ","Reconstituted Complex","physical","Van Der Hoeven PC (2000)"
"276","RAF1","HRAS","Reconstituted Complex","physical","Rodriguez-Viciana P (1997)"
"277","HRAS","RAF1","Affinity Capture-Western","physical","Huang YZ (2003)"
"278","HRAS","RAF1","Reconstituted Complex","physical","Stang S (1997)"
"279","RAF1","STK3","Affinity Capture-Western","physical","Kilili GK (2010)"
"280","RAF1","BRAF","Affinity Capture-Western","physical","Kilili GK (2010)"
"281","BRAF","RAF1","Affinity Capture-Western","physical","Chen C (2008)"
"282","RAF1","BRAF","Affinity Capture-Western","physical","Chen C (2008)"
"283","RAF1","KRAS","Reconstituted Complex","physical","Sui X (2009)"
"284","STK3","RAF1","Affinity Capture-Western","physical","Matallanas D (2007)"
"285","BRAF","RAF1","Affinity Capture-Western","physical","Lito P (2012)"
"286","RAF1","KRAS","Affinity Capture-Western","physical","Lito P (2012)"
"287","RAF1","STK3","Affinity Capture-Western","physical","ONeill E (2004)	15618521	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
825970	6788	5894	112664	111831	-	-	STK3	RAF1	KRS1|MST2	CMD1NN|CRAF|NS5|Raf-1|c-Raf	Affinity Capture-Western	physical	ONeill E (2004)"
